,fid,long,lat,iso3,SSP1,SSP3,SSP5
2994,17344,41.5,-115.5,USA16269.0,-23.5780879351244,-7.798311910409886,-23.53836818006289
2995,17345,41.5,-114.5,USA16270.0,4.183173977837782,1.5897739512785327,4.264050580614699
2996,17346,41.5,-113.5,USA16271.0,-11.117431568408838,-3.3629889189742657,-11.074199640492388
2997,17347,41.5,-112.5,USA16272.0,-18.592071248188162,-5.6081050791231455,-18.536782175998564
2998,17348,41.5,-111.5,USA16273.0,-18.642207982577375,-5.432005695857939,-18.39259538467982
2999,17349,41.5,-110.5,USA16274.0,-9.240807106187273,-2.546313680371771,-9.029628138771317
3000,17350,41.5,-109.5,USA16275.0,-7.347107854525519,-1.9913193228039252,-7.198250589098633
3001,17351,41.5,-108.5,USA16276.0,-4.456048094452333,-1.1021148367759637,-4.363017460538015
3002,17352,41.5,-107.5,USA16277.0,-16.8210259123723,-5.066103745693914,-16.70650528940971
3003,17353,41.5,-106.5,USA16278.0,-12.95857021094832,-3.806211701032505,-12.903353933085425
3004,17354,41.5,-105.5,USA16279.0,0.03697676227815911,0.30496379962374415,-0.007826853003511533
3005,17355,41.5,-104.5,USA16280.0,0.0,0.0,0.0
3006,17356,41.5,-103.5,USA16281.0,14.32838897802661,4.564019060469442,14.23589838305173
3007,17357,41.5,-102.5,USA16282.0,100.0,100.0,0.0
3008,17358,41.5,-101.5,USA16283.0,0.0,0.0,0.0
3009,17359,41.5,-100.5,USA16284.0,19.27219261165227,6.27020306255982,19.228404453938573
3010,17360,41.5,-99.5,USA16285.0,0.0,0.0,0.0
3011,17361,41.5,-98.5,USA16286.0,0.0,0.0,0.0
3012,17362,41.5,-97.5,USA16287.0,0.0,0.0,0.0
3013,17363,41.5,-96.5,USA16288.0,1.7658902568755517,8.210593406175262,1.7618719122301683
3014,17364,41.5,-95.5,USA16289.0,-6.219864478678542,6.375905627836503,-6.117800950529838
3015,17365,41.5,-94.5,USA16290.0,-4.536724002776444,6.743168530867225,-4.401976662672363
3016,17366,41.5,-93.5,USA16291.0,-16.006110018040896,-25.418177932274347,-8.997190146024403
3017,17367,41.5,-92.5,USA16292.0,-37.95192670352737,-29.56552442814513,-30.762369983480323
3018,17368,41.5,-91.5,USA16293.0,-37.07163234108116,-29.408380177425762,-29.793565005958328
3019,17369,41.5,-90.5,USA16294.0,20.412816512660505,-8.256330253210129,45.66182647305892
3020,17370,41.5,-89.5,USA16295.0,38.9081039707707,15.664219972872512,57.953406023069284
3021,17371,41.5,-88.5,USA16296.0,0.0,0.0,100.0
3022,17372,41.5,-87.5,USA16307.0,28.68109086661995,2.7292104648446625,50.799754730203226
3023,17373,41.5,-86.5,USA16308.0,0.0,0.0,0.0
3024,17374,41.5,-85.5,USA16309.0,11.5730139158006,-11.053373260524925,31.284128941342257
3025,17375,41.5,-84.5,USA16310.0,11.57619359058208,-15.827338129496402,40.58207979071288
3026,17379,41.5,-80.5,USA16311.0,12564.285714285714,12541.42857142857,12585.714285714286
3027,17380,41.5,-79.5,USA16312.0,14821.296296296296,14820.37037037037,14850.0
3028,17381,41.5,-78.5,USA16615.0,-0.03731343283582089,-32.798507462686565,33.47014925373134
3029,17382,41.5,-77.5,USA16616.0,34.61529420061591,10.171842309410188,54.97308352335504
3030,17383,41.5,-76.5,USA16617.0,4.778001690177469,-24.930117662354547,31.983358252616526
3031,17384,41.5,-75.5,USA16618.0,3.003613369467028,-22.764227642276424,34.73351400180668
3032,17385,41.5,-74.5,USA16619.0,10.242587601078167,-18.059299191374663,43.935309973045825
3033,17386,41.5,-73.5,USA16620.0,15.177514792899409,-3.75,32.455621301775146
3034,17387,41.5,-72.5,USA16621.0,0.0,0.0,0.0
3035,17388,41.5,-71.5,USA16622.0,0.0,0.0,0.0
3036,17389,41.5,-70.5,USA16623.0,24.233994851781116,-2.424645022004484,47.55874782031055
3037,17695,40.5,-124.5,USA16624.0,29.589185393258425,4.03441011235955,51.47296348314607
3038,17696,40.5,-123.5,USA16625.0,36.286960503168906,11.744222473913776,56.84688049738536
3039,17697,40.5,-122.5,USA16626.0,0.0,0.0,0.0
3040,17698,40.5,-121.5,USA16627.0,0.0,0.0,0.0
3041,17699,40.5,-120.5,USA16628.0,0.0,0.0,0.0
3042,17700,40.5,-119.5,USA16629.0,0.0,0.0,0.0
3043,17701,40.5,-118.5,USA16630.0,0.0,0.0,0.0
3044,17702,40.5,-117.5,USA16631.0,0.0,0.0,0.0
3045,17703,40.5,-116.5,USA16632.0,0.0,0.0,0.0
3046,17704,40.5,-115.5,USA16633.0,0.0,0.0,0.0
3047,17705,40.5,-114.5,USA16634.0,0.0,0.0,0.0
3048,17706,40.5,-113.5,USA16635.0,0.0,0.0,0.0
3049,17707,40.5,-112.5,USA16636.0,0.0,0.0,0.0
3050,17708,40.5,-111.5,USA16637.0,100.0,0.0,100.0
3051,17709,40.5,-110.5,USA16638.0,0.0,0.0,0.0
3052,17710,40.5,-109.5,USA16639.0,36.10256530624905,11.484024886874035,56.681599238170605
3053,17711,40.5,-108.5,USA16640.0,0.0,0.0,0.0
3054,17712,40.5,-107.5,USA16641.0,0.0,0.0,0.0
3055,17713,40.5,-106.5,USA16642.0,0.0,0.0,0.0
3056,17714,40.5,-105.5,USA16643.0,0.0,0.0,0.0
3057,17715,40.5,-104.5,USA16644.0,36.28361002826014,11.738710332064201,56.80257582228523
3058,17716,40.5,-103.5,USA16645.0,34.19689266541046,8.783588722579728,55.66750808831372
3059,17717,40.5,-102.5,USA16646.0,12.136092407072864,-100.0,38.84929107133082
3060,17718,40.5,-101.5,USA16647.0,27.36206220229756,1.4760437097226113,49.56570467918184
3061,17719,40.5,-100.5,USA16648.0,27.68488624521439,2.1182232077982968,49.547269507407
3062,17720,40.5,-99.5,USA16649.0,9.734064925629946,-19.998661721408634,36.26065843306695
3063,17721,40.5,-98.5,USA16650.0,24.063233927215705,-1.7114029672832543,46.25967630927294
3064,17722,40.5,-97.5,USA16651.0,25.391171634010814,-1.4112058124912672,48.48335679969046
3065,17723,40.5,-96.5,USA16652.0,29.393101995710243,3.2509108069089354,51.70383878617733
3066,17724,40.5,-95.5,USA16653.0,21.511492978375564,-100.0,44.73906787484335
3067,17725,40.5,-94.5,USA16654.0,0.0,0.0,0.0
3068,17726,40.5,-93.5,USA16655.0,27.40933019785228,-5.53121131514583,41.192168150880036
3069,17727,40.5,-92.5,USA16656.0,0.0,0.0,0.0
3070,17728,40.5,-91.5,USA16664.0,0.0,0.0,0.0
3071,17729,40.5,-90.5,USA16665.0,0.0,0.0,0.0
3072,17730,40.5,-89.5,USA16666.0,0.0,0.0,0.0
3073,17731,40.5,-88.5,USA16667.0,-5.315682385791936,-7.710662047663043,12.329379982755873
3074,17732,40.5,-87.5,USA16668.0,0.0,0.0,0.0
3075,17733,40.5,-86.5,USA16669.0,0.0,0.0,0.0
3076,17734,40.5,-85.5,USA16975.0,7.40221905785006,-5.6745656497241,24.57454324007368
3077,17735,40.5,-84.5,USA16976.0,21.886710941443205,-3.260331484451129,37.93638028115147
3078,17736,40.5,-83.5,USA16977.0,0.0,0.0,0.0
3079,17737,40.5,-82.5,USA16978.0,11.741849285240134,-12.31095119507173,23.731887887769382
3080,17738,40.5,-81.5,USA16979.0,9.407241248969829,-12.482882123670073,19.86146138640856
3081,17739,40.5,-80.5,USA16980.0,-10.148186232505,-16.08249071693802,0.721622393601828
3082,17740,40.5,-79.5,USA16981.0,12.884115377137453,-12.06258217803511,24.111323844894006
3083,17741,40.5,-78.5,USA16982.0,0.0,0.0,0.0
3084,17742,40.5,-77.5,USA16983.0,-13.964047062681917,-18.049235436395687,-4.385479440823187
3085,17743,40.5,-76.5,USA16984.0,-1.6592685989489404,-14.821628194992051,8.337510356433564
3086,17744,40.5,-75.5,USA16985.0,-11.604775731779897,-17.700386555329114,-1.5071449612542909
3087,17745,40.5,-74.5,USA16986.0,22.823130626734557,-8.270665205063215,33.09373096217631
3088,18056,39.5,-123.5,USA16987.0,-4.199867054568057,-14.87262273712199,5.9531928485717
3089,18057,39.5,-122.5,USA16988.0,-19.385679414157853,-12.957689178193654,-9.235150528885272
3090,18058,39.5,-121.5,USA16989.0,16.845786670794304,31.581039077305377,18.71451938804965
3091,18059,39.5,-120.5,USA16990.0,30.08977287693978,42.95369980766831,29.892927629712904
3092,18060,39.5,-119.5,USA16991.0,18.142199047129946,51.277921162102885,17.99919188910704
3093,18061,39.5,-118.5,USA16992.0,0.0,0.0,0.0
3094,18062,39.5,-117.5,USA16993.0,0.0,0.0,0.0
3095,18063,39.5,-116.5,USA16994.0,0.0,0.0,0.0
3096,18064,39.5,-115.5,USA16995.0,0.0,0.0,0.0
3097,18065,39.5,-114.5,USA16996.0,0.0,0.0,0.0
3098,18066,39.5,-113.5,USA16997.0,0.0,0.0,0.0
3099,18067,39.5,-112.5,USA16998.0,0.0,0.0,0.0
3100,18068,39.5,-111.5,USA16999.0,0.0,100.0,0.0
3101,18069,39.5,-110.5,USA17000.0,0.0,0.0,0.0
3102,18070,39.5,-109.5,USA17001.0,20.59233962885597,47.87014485384121,20.494974271854478
3103,18071,39.5,-108.5,USA17002.0,0.0,100.0,0.0
3104,18072,39.5,-107.5,USA17003.0,0.0,0.0,0.0
3105,18073,39.5,-106.5,USA17004.0,0.0,0.0,0.0
3106,18074,39.5,-105.5,USA17005.0,7.355013533780134,42.44658155120959,7.334494090098463
3107,18075,39.5,-104.5,USA17006.0,17.263872852000272,48.92807172451267,17.2076343136589
3108,18076,39.5,-103.5,USA17007.0,13.81727106813608,43.316566822616046,13.050932181546944
3109,18077,39.5,-102.5,USA17008.0,17.84142717307913,41.19568955634529,16.8819830862706
3110,18078,39.5,-101.5,USA17009.0,25.383884464840058,38.344014036982045,24.399946011607504
3111,18079,39.5,-100.5,USA17010.0,0.0,0.0,0.0
3112,18080,39.5,-99.5,USA17011.0,11.467835123057682,37.507106188188104,10.905837154352618
3113,18081,39.5,-98.5,USA17012.0,13.020788031660434,45.326498216926154,11.479625119596417
3114,18082,39.5,-97.5,USA17013.0,11.718682333920373,44.5444384411385,9.806606477796246
3115,18083,39.5,-96.5,USA17014.0,33.09631917295528,35.846428580640556,28.89007730330046
3116,18084,39.5,-95.5,USA17015.0,8.052961856878238,48.07961289834801,2.8900313764034324
3117,18085,39.5,-94.5,USA17022.0,8.728621032876692,48.50736629360321,3.081002636517669
3118,18086,39.5,-93.5,USA17023.0,11.558197482895515,46.98031928372329,6.330243263789171
3119,18087,39.5,-92.5,USA17024.0,10.243813380690776,47.52894834387258,5.147909025023098
3120,18088,39.5,-91.5,USA17025.0,7.05758912303188,47.20724796119677,2.0287505811688717
3121,18089,39.5,-90.5,USA17026.0,6.468727215915009,45.91318612644516,1.4021976877408604
3122,18090,39.5,-89.5,USA17027.0,0.0,100.0,0.0
3123,18091,39.5,-88.5,USA17028.0,-8.032228532630624,52.88100597989265,-17.426002654638243
3124,18092,39.5,-87.5,USA17029.0,-6.8823169835263895,47.92725767388596,-16.1662294853641
3125,18093,39.5,-86.5,USA17336.0,24.7445299289441,54.80091812013229,0.9413140584184764
3126,18094,39.5,-85.5,USA17337.0,8.72914364627961,71.31481223317013,-17.98158493786016
3127,18095,39.5,-84.5,USA17338.0,-3.9190033005263003,56.41818560256906,-20.732360024976956
3128,18096,39.5,-83.5,USA17339.0,-22.532056233585664,15.223492455842216,-32.07811936762964
3129,18097,39.5,-82.5,USA17340.0,-45.118714322073956,-15.361960513398538,-44.60967894411519
3130,18098,39.5,-81.5,USA17341.0,-21.97833065810594,-6.719502407704655,-21.773675762439808
