,fid,lat,long,iso3,2015
133,11021,59.5,41.5,RUS11021.0,0.0621762208987718
134,11022,59.5,42.5,RUS11022.0,0.06062058465142327
135,11023,59.5,43.5,RUS11023.0,0.061365583444984696
136,11024,59.5,44.5,RUS11024.0,0.01746644748605244
137,11025,59.5,45.5,RUS11025.0,0.038828549456498766
138,11026,59.5,46.5,RUS11026.0,1.6124957367690183
139,11027,59.5,47.5,RUS11027.0,0.13830722096152234
140,11028,59.5,48.5,RUS11028.0,0.6771218550220532
141,11029,59.5,49.5,RUS11029.0,1.3856255534980024
142,11030,59.5,50.5,RUS11030.0,0.6486379584171211
143,11031,59.5,51.5,RUS11031.0,0.21768733470544388
144,11032,59.5,52.5,RUS11032.0,0.5913715093032299
145,11033,59.5,53.5,RUS11033.0,0.417071329006958
146,11034,59.5,54.5,RUS11034.0,0.8181366707178848
147,11035,59.5,55.5,RUS11035.0,1.1633139751796595
148,11036,59.5,56.5,RUS11036.0,3.741909050547282
149,11037,59.5,57.5,RUS11037.0,4.158858948032822
150,11040,59.5,60.5,RUS11040.0,0.10289516376977004
151,11041,59.5,61.5,RUS11041.0,2.057049972812467
152,11042,59.5,62.5,RUS11042.0,0.29328994355337773
153,11043,59.5,63.5,RUS11043.0,0.28153734143997045
154,11044,59.5,64.5,RUS11044.0,0.318455805883902
155,11045,59.5,65.5,RUS11045.0,0.6104428220318001
156,11046,59.5,66.5,RUS11046.0,0.4793164704989667
157,11047,59.5,67.5,RUS11047.0,0.8178150412827789
158,11048,59.5,68.5,RUS11048.0,0.475827775707972
159,11060,59.5,80.5,RUS11060.0,0.23012914275122082
160,11069,59.5,89.5,RUS11069.0,0.11495626758623805
161,11071,59.5,91.5,RUS11071.0,0.13556352496408908
162,11079,59.5,99.5,RUS11079.0,0.11860249516177436
163,11367,58.5,27.5,RUS11367.0,0.0993769315816738
164,11368,58.5,28.5,RUS11368.0,1.1901076762837806
165,11369,58.5,29.5,RUS11369.0,0.2808743909716911
166,11370,58.5,30.5,RUS11370.0,1.1616730086740177
167,11371,58.5,31.5,RUS11371.0,0.2130795007576014
168,11372,58.5,32.5,RUS11372.0,0.09629847841708958
169,11373,58.5,33.5,RUS11373.0,0.06464095259024594
170,11374,58.5,34.5,RUS11374.0,0.049629390996633785
171,11375,58.5,35.5,RUS11375.0,0.0493635544227198
172,11376,58.5,36.5,RUS11376.0,0.05802129370648649
173,11377,58.5,37.5,RUS11377.0,0.06411256137542924
174,11378,58.5,38.5,RUS11378.0,0.05764058947717757
175,11379,58.5,39.5,RUS11379.0,0.08995121997326669
176,11380,58.5,40.5,RUS11380.0,0.5989888758224196
177,11381,58.5,41.5,RUS11381.0,0.20520942539654283
178,11382,58.5,42.5,RUS11382.0,0.08825446060643295
179,11383,58.5,43.5,RUS11383.0,0.11897335359204943
180,11384,58.5,44.5,RUS11384.0,0.0670203540234267
181,11385,58.5,45.5,RUS11385.0,0.0
182,11386,58.5,46.5,RUS11386.0,0.09534343591080599
183,11387,58.5,47.5,RUS11387.0,0.8256949624428714
184,11388,58.5,48.5,RUS11388.0,0.28380187521775624
185,11389,58.5,49.5,RUS11389.0,0.19410008215334715
186,11390,58.5,50.5,RUS11390.0,0.11649877610154143
187,11391,58.5,51.5,RUS11391.0,0.028900702097365238
188,11392,58.5,52.5,RUS11392.0,0.011280003759782458
