,fid,lat,long,UN_cur,NCP_cur,population
7459,41891,-26.5,-48.5,18.373799214691108,0.48500803609689075,465756
7460,42247,-27.5,-52.5,0.0,0.9999999403953552,69645
7461,42248,-27.5,-51.5,0.0,0.9999999602635702,47866
7462,42249,-27.5,-50.5,0.0,1.00000003973643,163559
7463,42250,-27.5,-49.5,0.0,1.0,23907
7464,42251,-27.5,-48.5,0.026128680591282,0.9999231497446696,141588
7465,42605,-28.5,-54.5,0.0,0.999999980131785,161027
7466,42606,-28.5,-53.5,0.0,1.0000000794728596,167238
7467,42607,-28.5,-52.5,0.0,1.00000003973643,232569
7468,42608,-28.5,-51.5,1.5349531835425567,0.8582327763239542,229965
7469,42609,-28.5,-50.5,2.1142379608225395,0.9562327861785889,180000
7470,42610,-28.5,-49.5,6.5381697959687,0.9327990214029948,335513
7471,42611,-28.5,-48.5,1.0165296550774772,0.9864179293314616,119334
7472,42964,-29.5,-55.5,0.5455935792267937,0.9937015771865845,182749
7473,42965,-29.5,-54.5,45.49765845673502,0.7569691936175028,226081
7474,42966,-29.5,-53.5,373.96816262428706,0.26472896337509155,213235
7475,42967,-29.5,-52.5,6114.405337652308,0.16576426972945532,752502
7476,42968,-29.5,-51.5,10697.211192334778,0.021780524402856827,265082
7477,42969,-29.5,-50.5,170.90843365238285,0.020579072646796703,100609
7478,42970,-29.5,-49.5,0.005549121158177417,0.9522006710370382,29711
7479,43323,-30.5,-56.5,227.88886886372924,0.2914164861043294,58293
7480,43324,-30.5,-55.5,413.6504835555708,0.08519706130027771,209401
7481,43325,-30.5,-54.5,193.59103296880718,0.10854130238294601,336269
7482,43326,-30.5,-53.5,132.99386208232622,0.10209297388792038,22073
7483,43327,-30.5,-52.5,5785.036807390203,0.5649600625038147,493441
7484,43328,-30.5,-51.5,3379.0928107919535,0.36195482810338336,187062
7485,43329,-30.5,-50.5,2912.4175565560677,0.4782161017258962,596776
7486,43683,-31.5,-56.5,21466.663819063477,0.14999702076117197,815635
7487,43684,-31.5,-55.5,906.9149151435018,0.3916890223821004,0
7488,43685,-31.5,-54.5,0.0,1.0,0
7489,43686,-31.5,-53.5,0.41552319074254324,0.9995911717414856,5217
7490,43687,-31.5,-52.5,0.0,0.999999980131785,2442
7491,43688,-31.5,-51.5,239.85517676079917,0.8843725919723511,420527
7492,44046,-32.5,-53.5,42.241353158916546,0.9781896471977234,69789
7493,44047,-32.5,-52.5,300.866999492793,0.8942983547846476,80591
7494,44406,-33.5,-53.5,36.905595079062756,0.8950243989626566,83360
7495,44407,-33.5,-52.5,0.0,1.0000000198682149,16165
7496,30813,4.5,33.5,3.302599747886296,0.33122722307840985,383
7497,30814,4.5,34.5,0.0,0.0,90
7498,31174,3.5,34.5,25.268912097428323,0.7722675999005636,397943
7499,31175,3.5,35.5,23910.50550895884,0.02756525141497453,243699
7500,31534,2.5,34.5,51.37633218975839,0.3768458962440491,261029
7501,31535,2.5,35.5,0.0,1.0000000794728596,179188
7502,31536,2.5,36.5,0.0,0.9999999403953552,27905
7503,31537,2.5,37.5,0.14225066076552764,0.7465808987617493,14051
7504,31538,2.5,38.5,2.130944083932991,0.15523058672746023,96271
7505,31539,2.5,39.5,2.278809462649595,0.27370720605055493,16637
7506,31540,2.5,40.5,0.0032084555678214377,0.2964536249637604,23783
7507,31541,2.5,41.5,0.03621360502170496,0.1814355949560801,97526
7508,31894,1.5,34.5,0.10569716496024244,2.936282592699987e-16,6086
7509,31895,1.5,35.5,84.44928125608716,0.015456453276177248,12026
7510,31896,1.5,36.5,49.85656707073357,9.9751563539061e-05,157148
7511,31897,1.5,37.5,14.07180073812208,0.01046505942940717,154768
7512,31898,1.5,38.5,0.013032675142384828,0.77075723807017,4000
7513,31899,1.5,39.5,0.1446386229855656,0.3049868543942769,2613
7514,31900,1.5,40.5,0.8527201538768763,0.02395749805767385,13889
7515,32253,0.5,33.5,0.543927211664868,0.1957200119892756,32011
7516,32254,0.5,34.5,6.632966544921764,0.14932672306895256,11425
7517,32255,0.5,35.5,39.97979770779895,0.7010043263435364,56997
7518,32256,0.5,36.5,10.43666972889642,0.41173358758290607,21247
