NC_c,NC_1,NC_3,NC_5,UN_c,UN_1,UN_3,UN_5,pop_c,pop_1,pop_3,pop_5,lat,lng
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,60.5009348847715,109.49999999999999
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,175,0.0,0.0,0.0,60.5009348847715,112.5
0.9995961607785949,0.9995904730600199,0.9995813042352144,0.9995681213220449,160.80221557617188,169.7512969970703,166.7178497314453,171.96707153320312,409,204.0,307.0,287.0,60.5009348847715,113.5
0.9966593321041125,0.9966071776782394,0.9965434260675821,0.9964239755932334,1145.232421875,1207.209228515625,1184.966796875,1225.916259765625,296,149.0,224.0,216.0,60.5009348847715,114.50000000000001
0.9808688719474297,0.9808007296971087,0.9803356775769411,0.9803641614467098,1168.086669921875,1187.3636474609375,1200.641845703125,1198.9027099609375,51,32.0,51.0,38.0,60.5009348847715,131.5
0.8137489838090212,0.8845748287457321,0.9043380689181256,0.9041649863709061,305052.4375,156380.359375,156680.515625,156964.0,436,415.0,298.0,515.0,59.50095392009791,-136.5
0.7604949494306117,0.7947324449236003,0.8555892873350812,0.8547792112560778,601635.25,363563.8125,362758.84375,364793.75,1749,1534.0,1133.0,1901.0,59.50095392009791,-135.50000000000003
0.8761089879521335,0.8540538646165091,0.9002677728887551,0.9001741989418279,23014.677734375,18487.759765625,18526.80859375,18544.19140625,1,0.0,0.0,1.0,59.50095392009791,-134.49999999999997
0.833920933271798,0.8322099685790926,0.8293433398993096,0.8234041757321394,275829.84375,289258.5625,283432.46875,293296.4375,41,49.0,32.0,67.0,59.50095392009791,-107.5
0.8274548865447219,0.8273067930416742,0.8284484770121885,0.8204233156610408,328512.4375,332659.59375,326620.71875,341900.0,1482,1715.0,1106.0,2287.0,59.50095392009791,-106.49999999999999
0.8480617028478205,0.8480282538248738,0.8500128759311498,0.8420900909179923,312483.5,314906.03125,308470.625,324765.0,1928,2271.0,1453.0,3036.0,59.50095392009791,-105.5
0.8860151804028815,0.9004399342737736,0.874900706070369,0.875041124639809,33985.703125,37282.2578125,37299.59375,37257.7265625,9,11.0,6.0,14.0,59.50095392009791,-69.5
0.8866890341180077,0.8890915827124988,0.8576883419473594,0.8739031946365865,2410.15478515625,2738.91845703125,3027.00732421875,2682.113037109375,71,45.0,35.0,49.0,59.50095392009791,14.499999999999998
