,fid,long,lat,iso3,SSP1,SSP3,SSP5
5534,26806,15.5,-13.5,SDN28651.0,,,
5535,26807,15.5,-12.5,SDN28652.0,-16.54129442912211,-89.94698812137996,35.65968095802958
5536,26808,15.5,-11.5,SDN28653.0,-87.44102144413726,-97.65296979231054,-79.42682861288166
5537,26809,15.5,-10.5,SDN29004.0,-96.43855831163165,-100.0,-75.24417298277825
5538,26810,15.5,-9.5,SDN29005.0,-100.0,-100.0,-100.0
5539,26811,15.5,-8.5,SDN29006.0,-1.7526611519207818,-98.1382104642368,-18.983673505096306
5540,26812,15.5,-7.5,SDN29007.0,25.983224385257525,-98.42730608007156,-16.315151858832888
5541,26813,15.5,-6.5,SDN29008.0,18.169305173887796,-98.9722661264524,-42.44775133352677
5542,26814,15.5,-5.5,SDN29009.0,-2.3540708866966535,-99.42883110693637,-74.14728110402463
5543,27167,14.5,-12.5,SDN29010.0,-2.0239674617085095,-98.57224157295128,-46.54201134838355
5544,27168,14.5,-11.5,SDN29011.0,11.273433046527048,-98.62746775259562,-30.443660261533818
5545,26137,17.5,37.5,SDN29012.0,15.08840258079274,-98.94683891470471,-28.19129455166574
5546,26138,17.5,38.5,SDN29013.0,6.417762982344041,1.0085464414643304,7.080987876277701
5547,26496,16.5,36.5,SDN29365.0,26.19578974932147,-3.980460216521315,78.54234740326109
5548,26497,16.5,37.5,SDN29366.0,-0.9248326105335362,0.2510033522814613,5.074136030316246
5549,26498,16.5,38.5,SDN29367.0,0.15898145833816302,0.13243009376170808,-0.3651136276034628
5550,26856,15.5,36.5,SDN29368.0,0.3639094434779524,0.012924929775845901,-2.2458298285059186
5551,26857,15.5,37.5,SDN29369.0,6.620974390403276,-1.7292199836837692,13.393447352755345
5552,26858,15.5,38.5,SDN29370.0,28.702825583700093,-6.840792594390707,42.959300414707855
5553,26859,15.5,39.5,SDN29371.0,1.0392928160813348,-0.5154241617740245,1.635105569646772
5554,26370,16.5,-89.5,SDN29372.0,0.10261365171073855,0.0758218852324917,-0.7363443711176113
5555,26371,16.5,-88.5,SDN29727.0,4.3182181311389245,0.841356375093326,18.637088128326496
5556,26730,15.5,-89.5,SDN29728.0,23.0578947442883,-1.1409668970830666,52.44458780851799
5557,26731,15.5,-88.5,SDN29729.0,32.454082416078876,-7.316256867539344,90.24582883515573
