,fid,long,lat,iso3,2015
140,11028,59.5,48.5,RUS11028.0,90.50044814745584
141,11029,59.5,49.5,RUS11029.0,87.92282938957214
142,11030,59.5,50.5,RUS11030.0,85.46426693598428
143,11031,59.5,51.5,RUS11031.0,0.0
144,11032,59.5,52.5,RUS11032.0,0.0
145,11033,59.5,53.5,RUS11033.0,55.83606561024984
146,11034,59.5,54.5,RUS11034.0,52.496556440989174
147,11035,59.5,55.5,RUS11035.0,61.45175298055013
148,11036,59.5,56.5,RUS11036.0,59.105835358301796
149,11037,59.5,57.5,RUS11037.0,88.17805250485739
150,11040,59.5,60.5,RUS11040.0,99.93037581443787
151,11041,59.5,61.5,RUS11041.0,91.87125364939371
152,11042,59.5,62.5,RUS11042.0,53.362793723742165
153,11043,59.5,63.5,RUS11043.0,73.85141650835672
154,11044,59.5,64.5,RUS11044.0,43.647004167238876
155,11045,59.5,65.5,RUS11045.0,70.37463784217834
156,11046,59.5,66.5,RUS11046.0,63.630406061808266
157,11047,59.5,67.5,RUS11047.0,33.74209105968475
158,11048,59.5,68.5,RUS11048.0,92.87307262420654
159,11060,59.5,80.5,RUS11060.0,95.8305299282074
160,11069,59.5,89.5,RUS11069.0,95.53181529045105
161,11071,59.5,91.5,RUS11071.0,99.32219187418619
162,11079,59.5,99.5,RUS11079.0,99.99999602635702
163,11367,58.5,27.5,RUS11367.0,99.9999980131785
164,11368,58.5,28.5,RUS11368.0,99.79671438535055
165,11369,58.5,29.5,RUS11369.0,99.20626481374106
166,11370,58.5,30.5,RUS11370.0,99.29204185803732
167,11371,58.5,31.5,RUS11371.0,99.99999403953552
168,11372,58.5,32.5,RUS11372.0,99.9999980131785
169,11373,58.5,33.5,RUS11373.0,99.89219307899475
170,11374,58.5,34.5,RUS11374.0,99.99999602635702
171,11375,58.5,35.5,RUS11375.0,98.5787590344747
172,11376,58.5,36.5,RUS11376.0,97.09493319193521
173,11377,58.5,37.5,RUS11377.0,97.23634521166483
174,11378,58.5,38.5,RUS11378.0,99.36856627464294
175,11379,58.5,39.5,RUS11379.0,100.0
176,11380,58.5,40.5,RUS11380.0,97.16265797615051
177,11381,58.5,41.5,RUS11381.0,99.99895493189493
178,11382,58.5,42.5,RUS11382.0,100.00000198682149
179,11383,58.5,43.5,RUS11383.0,77.49768694241843
180,11384,58.5,44.5,RUS11384.0,100.00000198682149
181,11385,58.5,45.5,RUS11385.0,98.04365634918213
182,11386,58.5,46.5,RUS11386.0,96.35759194691977
183,11387,58.5,47.5,RUS11387.0,97.90478150049844
184,11388,58.5,48.5,RUS11388.0,100.00000198682149
185,11389,58.5,49.5,RUS11389.0,100.00000198682149
186,11390,58.5,50.5,RUS11390.0,100.0
187,11391,58.5,51.5,RUS11391.0,99.7809648513794
188,11392,58.5,52.5,RUS11392.0,0.0
189,11393,58.5,53.5,RUS11393.0,0.0
190,11394,58.5,54.5,RUS11394.0,100.0
191,11395,58.5,55.5,RUS11395.0,0.0
