,fid,lat,long,UN_cur_perc,NCP_cur
323,12110,56.5,50.5,5.143126230795248e-09,0.9835281769434611
324,12111,56.5,51.5,2.8614280950727524e-07,0.9561093052228292
325,12112,56.5,52.5,2.01592967950051e-07,0.9865736564000448
326,12113,56.5,53.5,3.994187446294527e-05,0.5661733349164327
327,12114,56.5,54.5,0.0005818726760803221,0.6861476500829061
328,12115,56.5,55.5,0.0014986095538836312,0.4370845556259155
329,12116,56.5,56.5,0.009311249830780856,0.30068473021189374
330,12117,56.5,57.5,0.009912445505939498,0.5844706892967224
331,12118,56.5,58.5,0.0028329349702164316,0.7518353263537089
332,12119,56.5,59.5,0.0010503900438482835,0.7923949162165324
333,12120,56.5,60.5,0.0007864772668757708,0.7436245481173197
334,12121,56.5,61.5,1.0971836309455402e-05,0.9513607819875082
335,12122,56.5,62.5,0.0018670447544394944,0.5618484020233154
336,12123,56.5,63.5,0.010826457191730235,0.34017280737559
337,12124,56.5,64.5,0.0002818424975558291,0.31180334091186523
338,12125,56.5,65.5,0.002044977215133136,0.14333797494570413
339,12126,56.5,66.5,0.0023201743003372203,0.22759336233139038
340,12127,56.5,67.5,4.550266026218584e-05,0.44248636563618976
341,12128,56.5,68.5,3.0243759356311732e-06,0.7431126634279887
342,12129,56.5,69.5,8.299019389612902e-06,0.17460804680983225
343,12130,56.5,70.5,0.00039893652966523216,0.22527546683947244
344,12131,56.5,71.5,0.000947411913773476,0.5100080768267313
345,12132,56.5,72.5,0.004594677534371534,0.43359559774398804
346,12133,56.5,73.5,0.009374166115815282,0.3243914345900218
347,12134,56.5,74.5,0.008070573921517641,0.2668149967988332
348,12135,56.5,75.5,0.0,0.9999999602635702
349,12136,56.5,76.5,0.0,1.00000003973643
350,12137,56.5,77.5,2.1404917821433672e-05,0.9830975333849589
351,12138,56.5,78.5,2.399153466281802e-07,0.9957877596219381
352,12139,56.5,79.5,3.566249243939799e-05,0.9746858676274618
353,12140,56.5,80.5,0.00043642453230266547,0.9438058733940125
354,12141,56.5,81.5,1.4563613715138797e-05,0.993395189444224
355,12142,56.5,82.5,3.44097143677578e-07,0.9906243880589803
