,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
27816,32358.91015625,-1.2616489782989397,69.64502507942835,-18.062964690101175,-83.0,12.0,-84.0,12.0,-84.0,13.0,-83.0,13.0,-83.0,12.0
27828,53409.67578125,18.136373200753578,72.62296735354235,17.72117894427047,-71.0,12.0,-72.0,12.0,-72.0,13.0,-71.0,13.0,-71.0,12.0
27883,323792.4375,-21.702309677939898,150.0965993067704,-26.333594496011045,-16.0,12.0,-17.0,12.0,-17.0,13.0,-16.0,13.0,-16.0,12.0
27884,895343.5625,-46.82770168462567,132.89325319742832,-49.27618916118582,-15.0,12.0,-16.0,12.0,-16.0,13.0,-15.0,13.0,-15.0,12.0
27885,681300.875,-0.5196309193056592,139.81720998083262,-5.473609585486002,-14.0,12.0,-15.0,12.0,-15.0,13.0,-14.0,13.0,-14.0,12.0
27886,421069.125,29.25923979821603,110.68504785289113,18.276007532017456,-13.0,12.0,-14.0,12.0,-14.0,13.0,-13.0,13.0,-13.0,12.0
27887,268071.8125,34.773424751623224,116.29987673545499,19.348908140052956,-12.0,12.0,-13.0,12.0,-13.0,13.0,-12.0,13.0,-12.0,12.0
27888,231584.09375,80.45658630214106,171.2970220995586,72.13321942582682,-11.0,12.0,-12.0,12.0,-12.0,13.0,-11.0,13.0,-11.0,12.0
27889,158299.25,88.9381187845173,165.87592408049943,81.73171224753118,-10.0,12.0,-11.0,12.0,-11.0,13.0,-10.0,13.0,-10.0,12.0
27890,438685.625,-10.07829496350604,92.87093405442678,-13.898385375632037,-9.0,12.0,-10.0,12.0,-10.0,13.0,-9.0,13.0,-9.0,12.0
27891,1271943.5,-81.42358893103349,175.23899449936258,-81.99004122431539,-8.0,12.0,-9.0,12.0,-9.0,13.0,-8.0,13.0,-8.0,12.0
27892,612013.25,-91.89750040644545,156.97237764051678,-92.13712450772104,-7.0,12.0,-8.0,12.0,-8.0,13.0,-7.0,13.0,-7.0,12.0
27893,433521.3125,-80.94584558342792,124.07472469995348,-81.49723679963255,-6.0,12.0,-7.0,12.0,-7.0,13.0,-6.0,13.0,-6.0,12.0
27894,348430.96875,-94.3874160959609,99.77949362458902,-94.59384765597848,-5.0,12.0,-6.0,12.0,-6.0,13.0,-5.0,13.0,-5.0,12.0
27895,424480.84375,-29.710704701264863,196.5769877571772,-32.31098399832089,-4.0,12.0,-5.0,12.0,-5.0,13.0,-4.0,13.0,-4.0,12.0
27896,786465.0,-13.597855594336684,200.4829204096813,-16.838122166911432,-3.0,12.0,-4.0,12.0,-4.0,13.0,-3.0,13.0,-3.0,12.0
27897,908319.1875,-86.49580660900659,73.88051983653598,-87.00301576944283,-2.0,12.0,-3.0,12.0,-3.0,13.0,-2.0,13.0,-2.0,12.0
27898,1085241.0,-97.90871606370152,-4.238206075885448,-97.98691478004655,-1.0,12.0,-2.0,12.0,-2.0,13.0,-1.0,13.0,-1.0,12.0
27899,1355433.5,-78.12010880651836,117.63262454410342,-78.94314116111192,0.0,12.0,-1.0,12.0,-1.0,13.0,0.0,13.0,0.0,12.0
27900,508544.6875,68.75257398102305,199.45490286927833,62.641409954754465,1.0,12.0,0.0,12.0,0.0,13.0,1.0,13.0,1.0,12.0
27901,385087.09375,118.42093026520705,242.70085168233453,112.7541602398873,2.0,12.0,1.0,12.0,1.0,13.0,2.0,13.0,2.0,12.0
27902,622834.4375,24.851628407268343,255.21369994895312,23.114850646003337,3.0,12.0,2.0,12.0,2.0,13.0,3.0,13.0,3.0,12.0
27903,1008610.125,44.832548652037374,288.86222265516125,43.018269819569774,4.0,12.0,3.0,12.0,3.0,13.0,4.0,13.0,4.0,12.0
