,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
10869,196810.78125,3.902518996275769,2.4964095431128723,3.4289121292739138,-110.0,59.0,-111.0,59.0,-111.0,60.0,-110.0,60.0,-110.0,59.0
10870,119005.359375,4.030366016866624,2.0621445226403274,3.1850193721580027,-109.0,59.0,-110.0,59.0,-110.0,60.0,-109.0,60.0,-109.0,59.0
10871,163517.796875,6.080741020257829,3.6127279341440186,5.917446485899519,-108.0,59.0,-109.0,59.0,-109.0,60.0,-108.0,60.0,-108.0,59.0
10872,275829.84375,4.868479265126655,2.7562735404696395,6.332379960244966,-107.0,59.0,-108.0,59.0,-108.0,60.0,-107.0,60.0,-107.0,59.0
10873,328512.4375,1.2624046387893608,-0.5758438750131035,4.075207198205395,-106.0,59.0,-107.0,59.0,-107.0,60.0,-106.0,60.0,-106.0,59.0
10874,312483.5,0.7752509332492755,-1.2841878051161102,3.9302875191810127,-105.0,59.0,-106.0,59.0,-106.0,60.0,-105.0,60.0,-105.0,59.0
10875,301625.625,0.9118298553048999,-1.0794424379559926,4.814546592319535,-104.0,59.0,-105.0,59.0,-105.0,60.0,-104.0,60.0,-104.0,59.0
10876,382153.6875,0.5436049207296999,-0.8941101739336219,4.80781701210197,-103.0,59.0,-104.0,59.0,-104.0,60.0,-103.0,60.0,-103.0,59.0
10877,247369.46875,2.4509390874454873,0.9989359287088658,5.555145687315141,-102.0,59.0,-103.0,59.0,-103.0,60.0,-102.0,60.0,-102.0,59.0
10878,68595.4375,10.989274067972815,10.041711957883496,10.279063749684518,-101.0,59.0,-102.0,59.0,-102.0,60.0,-101.0,60.0,-101.0,59.0
10879,104122.71875,6.168119829756174,5.480904893774683,4.772155872562634,-100.0,59.0,-101.0,59.0,-101.0,60.0,-100.0,60.0,-100.0,59.0
10880,158918.46875,7.371429256865401,7.074215139012909,6.472196533167263,-99.0,59.0,-100.0,59.0,-100.0,60.0,-99.0,60.0,-99.0,59.0
10881,251095.4375,12.699043466291577,12.643735810611851,12.439879059929156,-98.0,59.0,-99.0,59.0,-99.0,60.0,-98.0,60.0,-98.0,59.0
10882,324725.375,31.69103854295341,31.258134277310482,31.612866718531006,-97.0,59.0,-98.0,59.0,-98.0,60.0,-97.0,60.0,-97.0,59.0
10883,384303.0625,35.95639606697123,35.77287391510183,35.88446390535855,-96.0,59.0,-97.0,59.0,-97.0,60.0,-96.0,60.0,-96.0,59.0
10884,224682.296875,41.902632376674646,42.2062833583003,42.454564490262534,-95.0,59.0,-96.0,59.0,-96.0,60.0,-95.0,60.0,-95.0,59.0
10885,65587.2890625,-39.37865842669353,-39.16398149269824,-39.113911053411286,-94.0,59.0,-95.0,59.0,-95.0,60.0,-94.0,60.0,-94.0,59.0
10886,308.9901428222656,6.7751085951797085,7.550279807711396,10.24204569506199,-93.0,59.0,-94.0,59.0,-94.0,60.0,-93.0,60.0,-93.0,59.0
10901,11208.9150390625,-32.40101502631703,-32.613710191098065,-31.789310597756792,-78.0,59.0,-79.0,59.0,-79.0,60.0,-78.0,60.0,-78.0,59.0
10902,306570.5625,-38.90425205942596,-38.978363260171136,-38.903426393067335,-77.0,59.0,-78.0,59.0,-78.0,60.0,-77.0,60.0,-77.0,59.0
10903,366392.6875,-37.110597526595015,-37.282800062705945,-37.506441603041,-76.0,59.0,-77.0,59.0,-77.0,60.0,-76.0,60.0,-76.0,59.0
10904,485134.625,-40.125234567621305,-39.86401197399588,-40.198171796127724,-75.0,59.0,-76.0,59.0,-76.0,60.0,-75.0,60.0,-75.0,59.0
10905,212249.921875,-50.33980430646507,-49.992123083084174,-50.13718718241578,-74.0,59.0,-75.0,59.0,-75.0,60.0,-74.0,60.0,-74.0,59.0
10907,41231.77734375,10.188440253198975,9.094121598224973,10.211528104034596,-72.0,59.0,-73.0,59.0,-73.0,60.0,-72.0,60.0,-72.0,59.0
10908,135505.34375,18.595807222547265,17.520515219533547,18.625995146409124,-71.0,59.0,-72.0,59.0,-72.0,60.0,-71.0,60.0,-71.0,59.0
10909,122753.21875,37.3149456620664,37.352393763605484,37.25650778505553,-70.0,59.0,-71.0,59.0,-71.0,60.0,-70.0,60.0,-70.0,59.0
10910,33985.703125,9.699827822820717,9.750837323598848,9.627646735644815,-69.0,59.0,-70.0,59.0,-70.0,60.0,-69.0,60.0,-69.0,59.0
10914,99471.0390625,-14.177878250209918,-14.14765588570731,-14.137162881815554,-65.0,59.0,-66.0,59.0,-66.0,60.0,-65.0,60.0,-65.0,59.0
10915,461494.0625,-28.32500553568877,-28.32086815851504,-28.33014509260344,-64.0,59.0,-65.0,59.0,-65.0,60.0,-64.0,60.0,-64.0,59.0
